,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
brim,0,72,16,10,177,15,1,18,2,1,285,735,0,623,15,69,336,12,3,38,2,397,304,94,1369,0,54,373,1709,87,527,14852,137,1984,77,7,4,90,428,4,9,20,2689,5,3,13,34,303,6,11,106485,182
bring,3,290149,264,5406,758,5088,101,70839,81,154,12762,35410,161,19787,419,1501346,2050,126,124,519,204,3334,476230,13751,17405,56620,18425,7920,1743906,74505,2998832,2680,3307,435390,104588,2281,846,628398,60571,804,573,4682,599980,29804,74,328,1764,2544540,25806,3251,84419,704
bristle,0,107,4,13,48,319,0,10,1,1,20,371,0,8415,17,1767,76,12,0,0,0,53,71,60,361,0,0,371,791,87,74,268,51,354,182,0,0,88,121,4,74,20,589,1,2,7,82,277,7,11,1166,52
broaden,0,3,0,11,14,1,1,3,0,0,3,254,0,36,6,19,4,0,0,4,74,72,6,40,40,0,0,108,182,143,4682,8,3,64,622,3,1,1359,101,27,0,7,685,0,1,2,2,630,1,4,112,7
brush,0,1252,309,2070,9976,14410,103,1942,36,54,3909,19898,12879,12589,9304,3350,10040,1269,198,1422,43,6228,3666,966,56110,0,100,18614,48398,6945,197345,19562,100556,44334,1839,1328,31,11831,16771,5538,158,7928,100577,432,163,541,3537,188765,313,292,70083,2543
bubble,1,3475,1962,167,3461,482,78,458,127,130,15675,13890,95,12905,1916,2344,5100,729,211,1294,95,5601,2076,1915,32357,139,58,10059,65257,2671,9188,110399,1795,28853,1403,276,117,5881,7108,73,282,1753,54799,309,57,260,2133,29176,107,245,27808,3433
buck,0,689,254,139,1356,1276,26,607,124,18,1271,10672,54,14924,318,2022,1766,188,102,280,34,13251,1481,1375,33371,1,117,11572,36654,1052,4932,6180,23807,29172,1369,2427,89,9918,2889,34,73,857,30143,108,32,128,702,50954,25,284,25194,2205
bucket,0,737,389,185,3695,753,27,569,52,29,1474,12951,78,11484,676,1898,4464,567,446,554,19,4335,2637,746,43771,0,41,8872,34650,3925,3762,321243,1745,25107,1004,579,153,3867,5198,37,26,590,39585,307,90,329,4670,3075,111,159,47288,1809
buckle,0,59,35,106,373,136,3,49,2,17,431,1556,6,2138,62,564,482,73,26,89,2,268,65213,140,2832,0,53,2051,14205,575,3505,4352,563,6405,325,77,32,482,809,10,12,195,6072,82,15,53,9567,111504,31,33,2428,223
budge,0,451,131,6,1079,108,18,24,1,6,52,999,7,7163,79,71,183,6,195,28,105,337,155,2769,4843,0,41,10513,4341,261,3214,416,1130,54359,1127,3,40,406,682,504,1,168,2150,8,21,77,283,501,17,8,1801,594
buff,0,805,449,1499,11311,6510,64,1967,170,75,1705,43095,247,28037,2117,3401,9498,238,135,681,239,9122,1065,4893,126760,0,30,64663,82310,2768,102732,24571,5108,93387,6727,575,85,33340,4671,202,166,1377,332616,404,91,743,939,49897,710,537,44389,5518
bug,0,5934,328,521,10831,1434,50,676,257,83,2240,37346,537,24734,665,3799,14549,366,118,1257,100,10018,1084,3476,62291,2,23,29441,326844,3727,27025,26658,8334,98714,2893,245,466,97608,2478,68,278,1756,78774,118,47,122,1555,11630,272,555,192259,3169
bugger,0,626,10,17,117,14,0,28,1,27,549,497,5,511,84,255,162,43,13,28,1,113,453,177,1888,0,2,380,2274,214,4081,1693,50501,1131,136,10,32,1541,147,1,11,60,6155,11,1,7,64,3249,2,10,1371,80
build,0,7231,9527,1734,21345,18778,818,4599,469,984,242183,156753,956,85345,3012,33844,30660,1609,5792,4603,1144,45860,8930,20111,528598,18,717,154030,431602,77826,886782,161291,95151,593146,272498,6165,1043,136689,33893,1560,531,17454,325089,17694,5890,25467,6777,6060871,81656,3596,419784,37717
bulk,0,478,199,177,2754,542,269,281,24,7,1408,9485,44,23676,328,2518,2553,205,59,385,93,3938,856,981,43048,1,40,30007,16878,1339,12268,692609,2617,19630,581,129,106,5862,2031,222,44,1697,50544,210,24,119,417,129949,45,312,11648,3588
bully,0,1293,22,129,1571,1236,17,103,74,26,2388,6822,43,9241,631,2559,1060,357,10,56,38,4243,1455,1380,24123,3,24,8049,46223,2675,2966,8047,1026,11349,2114,82,21,4766,1201,142,17,901,27599,54,175,1031,169,1186,15,314,13903,1386
bum,0,878,32,135,1855,349,10,108,13,35,8571,3127,13,3724,121,879,1130,212,21,77,5,1540,808,464,9377,0,44,3190,14253,694,2826,3388,6202,12774,4672,66,46,5775,873,11,47,254,10023,43,11,86,324,1300,18,110,8974,876
bump,0,782,1000,464,5936,3660,427,1388,102,15,3783,7942,65,17889,963,3539,3095,566,270,1660,42,3959,7693,940,40308,0,224,26318,190367,198294,123943,24471,6541,68205,2604,565,119,6136,5212,273,26,836,55676,475,120,494,2165,181844,145,205,12361,1738
bundle,0,1121,215,81,2420,93,30,958,26,85,824,11941,68,13710,180,1621,4026,116,196,179,27,2948,648,1506,95179,0,16,16456,25695,1656,25127,252754,1623,26327,1642,134,107,1807,2326,26,20,1088,23673,3302,16,79,565,30285,67,297,69423,2539
bung,0,15,4,3,34,0,1,5,0,1,7,1693,0,91,6,69,89,7,0,2,0,26,36,12,587,0,2,196,1644,176,1662,379,83,732,66,27,24,276,25,1,1,15,791,24,0,4,15,530,0,4,324,20
bunk,0,522,1241,184,590,43,2,27,6,13,63,2784,6,1961,30,102,376,71,484,28,9,822,536,170,3058,0,1,1245,6584,189,760,4488,1015,2121,473,341,20,387,298,5,5,46,3881,661,2,22,181,1516,9,51,7388,377
buoy,0,51,19,5,35,12,8,5,3,0,42,212,0,298,12,40,63,30,4,216,1,56,29,10,516,0,2,154,1124,42,248,173,93,464,44,6,2,145,57,1,0,12,1005,1,0,4,20,492,3,8,466,15
burn,0,12371,374,1049,27171,2401,131,1430,81,535,8791,39499,190,49212,22495,3043,11427,403,250,2007,160,12088,281092,7242,87061,29,91,41521,401521,9821,456812,28169,103214,88887,21367,1070,164,358000,6752,911,174,179124,125174,2122,471,2165,3348,92507,548,3094,47169,6206
burst,0,670,420,457,3979,2022,132,525,85,2263,1365,14229,75,20655,1237,2369,4662,288,93,484,102,4692,45424,2153,22333,7504,1713,40598,68947,213552,13459,200404,4071,30982,4250,6833,16367,227520,3726,1025,396,34891,37571,206,92,382,1135,3704,687,410,38999,3059
bust,0,561,467,180,6330,480,41,139,61,501,550,8342,72,10735,254,1169,3219,93,33,143,24,3100,20541,1156,26075,35,41,4079,54619,16752,32240,28803,2675,15736,7088,278,12547,235161,1244,314,43,23906,11248,90,10,18,421,25796,55,261,8181,1162
butt,0,6012,278,1207,7351,3877,153,501,57,330,2328,17628,115,19394,2048,9099,7148,691,149,505,28,9570,8666,2194,42497,2,528,12147,124115,20269,12583,147500,74021,47284,2628,1014,425,44797,6036,79,107,1750,88258,717,277,1053,1223,15895,100,727,38960,5263
butter,0,826,78,593,4361,489,74,868,58,31,1969,20637,102,16842,553,1574,9313,224,61,1904,32,5757,1731,1535,65994,0,27,16842,132564,14364,10481,35228,9609,163870,5060,1771,133,12932,9518,47,47,1550,67177,2168,38,183,2541,9954,120,300,52743,3483
button,0,2905,9507,573,29948,2040,114,1707,215,317,2237,92253,202,247263,3439,8621,26955,2461,107846,3070,106,17711,174473,6850,340386,1,245,33403,347900,5398,57380,28625,6017,725906,7155,985,1993,6124,15090,198,96,3009,680833,2134,286,1339,73574,132860,542,1654,75166,16888
buy,0,21569,2073,1569,26939,1947,2112,1895,228,243,10674,152144,385,341563,2773,198827,30099,335,2706,3272,1189,17922,7458,29733,442832,5,111,947067,697303,684383,5789756,17789,85156,219888,1642930,314,2379,181975,22270,1194,5480,33602,162675,2736,59,420,6205,153055,400,9352,216764,24473
buzz,0,26124,106,177,3402,329,65,395,754,24,28586,6301,48,7951,627,1291,2949,726,24,239,55,3678,1189,1049,23893,0,4,24526,23635,952,17976,18525,28946,22345,549,21,84,3612,2781,519,68,1902,12770,91,16,114,202,1219,46,113,9256,2181
calculate,0,952,63,61,1112,351,250,49,7,2,474,3378,4,2824,96,480,668,8,25,236,91,2907,252,456,13194,0,73,4742,10865,1168,87764,213,658,3805,1579,3,18,5783,395,133,26,286,4463,49,12,38,70,566,48,132,8596,1145
call,1,74699,910,1095,40128,28064,67538,1036,426,188,78038,73206,549,137993,16387,283964,37856,965,408,26329,6241,71123,30020,13766,1343893,6465,2444,468391,753635,72009,8063732,1435317,72991,559075,92169,555,1963,992063,28213,874,1186,8102,1022079,2458,206,924,2453,357924,68294,1424,206699,15056
calm,0,31508,121,49,8681,351,47,92,177,24,5789,42313,40,10430,72,2429,41120,217,41,695,55,3454,2118377,4637,20215,1,10,2314,50025,397,34753,5305,224,12106,7754,18,246,1033,1927,22,36,3163,16661,117,48,351,8785,1498,100,9975,14118,1301
camp,0,4970,1009,1383,13450,1860,381,3794,293,163,7125,52040,167,75005,1847,3963,15354,4471,695,2006,171,17092,3963,4384,139733,1,29,14363,229045,3392,20062,72140,1947,74991,10288,133,461,91634,6556,227,118,1822,92206,4752,121,560,4934,8972,189,1267,95404,9960
cancel,0,532,28,46,17867,260,267,66,7,5,231,8579,11,18919,321,752,15785,22,30,382,30,4589,633,1399,15350,1,225,3655,13647,23167,269491,1365,919,33293,11226,54,154,202810,1896,64,14,1515,14296,34,11,54,1309,1748,229,165,15981,5903
cap,0,2400,1505,1380,10617,2577,116,931,231,199,5928,48455,393,112313,1137,19003,14987,936,823,3318,599,23431,4985,7478,178893,0,184,39555,148988,6139,104840,193870,71310,356217,14782,1322,2103,59832,11583,589,178,2389,172285,547,103,539,3577,15551,256,1014,84190,12468
capitalize,0,24,0,3,646,245,3,3,1,1,22,1199,1,1060,12,12,321,0,1,10,23,1204,19,284,874,0,1,1128,3041,91,13184,634,12609,351646,663,32,7,73,157,1,2,55,700,3,1,4,21,23,1839,58,1848,106
care,0,14683615,874,1821,28928,1347,236,1278,886,400,4238,333595,802,395531,2936,5010,17500,837,167,2976,7128,34975,2280,45538,3379624,6,70,46933,339511,25102,54788,8031294,14109,46386,96368,615,192,9807,11496,1440,73,11261,2785451,574,904,5688,5552,3605,672,35693,66146,14842
carried,0,4969,486,5123,659,995,42,7794,80,32,44980,8881,18,10654,309758,4732,1528,281,75,1011,266,220419,5392,1207,17421,791,14331,8279,65840,20539,86512,609,22229,203349,12329,2031,129,523966,158777,641,242,41030,59035,206,111,360,805,7260,395,1026,25321,1675
carry,0,13937,494,5847,4369,5629,269,5399,222,93,324012,70548,177,49164,7838,6991,4670,887,267,2825,502,14332,4230,10908,63959,1331,20160,24446,191877,21213,518579,24924,11265,1485174,91261,2158,1368,432345,335248,1285,2152,36334,84791,351,94,400,2222,18167,205,3927,150674,15962
cart,0,1103,138,1112,4220,697,1050,1367,53,183,11400,12874,185,22786,5295,12274,54698,2879,145,808,43,4527,4156,1425,44062,1,445,14849,52869,9685,12326,20051,3691,30926,1648,1268,276,8966,4243,531,166,3894,55987,662,155,554,775,5620,162,1001,43128,3798
carve,0,69,10,87,168,38,5,63,3,114,770,746,11,791,2271,275,201,11,2,26,5,184,816,105,1365,0,11,890,2397,4818,18549,248,3478,2460,1768,100,343,107832,121,15,14,3610,1002,25,13,41,28,17646,11,45,1842,190
cash,2,1330,782,998,14844,979,483,1798,276,106,14156,69243,2250,104774,5383,248050,17031,2139,151,2369,538,27333,12556,5292,496045,2,340,135482,696745,69468,77661,9383,15567,351663,3854,1359,349,374934,15755,141,96,8909,554804,5942,1205,5795,12498,21124,1000,543,48324,14057
cast,1,4844,474,1482,9931,5207,302,1413,269,325,10565,144699,46605,45789,37922,7724,13148,1249,236,1593,518,46333,26266,5757,118439,729,237,64442,176439,42279,306750,338890,48506,186717,23569,2888,407,93639,11284,619,136,6184,105804,5654,270,893,2128,4969,9032,1043,64298,10651
catch,0,5789,344,208,4523,6378,49,584,92,45,2079,27329,135,26018,1276,22276,6109,637,129,978,171,29748,1266,7372,42000,1,108,15053,71841,1747,612522,24565,4012,505559,94147,17483,232,14792,3997,150,115,1057,35662,319,35,123,1074,1953018,282,1424,62043,4182
cater,0,41,5,16,33,30,0,12,1,1,469,595,0,738,24,33,15,3,4,11,9,69,43,199,40536,2,0,294,897,55,3380,90,25,272,207,3,8,93,17,4,2,41,743732,2,1564,11790,9,62,3,166,446,15
cave,0,833,587,294,5450,274,129,539,53,34,940,8275,37,12031,432,943,4783,2727,1376,597,279,6389,1020,892,29035,1,72,5934,141311,11284,4007,42538,684,27668,1888,115,215,1775,1785,176,14,655,68751,588,50,239,6774,1463,43,313,46661,4740
centre,0,1462,229,566,2643,563,83,435,52,38,6686,11469,23,14801,205,53631,2655,444,88,869,26,4232,828,782,67686,0,10525,4143,64784,784,5416,346290,480,22870,2350,90,319,1298,1564,72,123,495,33590,173,43,345,712,737,68,111,17512,1811
chalk,0,163,38,213,373,236,2,90,7,3,826,1524,10,2765,168,211,707,99,14,143,5,432,775,135,4329,0,5,2009,6967,634,203635,535,1607,15066,3025,176,0,1275,437,8,121,82,6448,41,3,11,173,43371,15,31,1867,165
chance,0,2276,975,1125,52927,265458,443,931,719,171,1700,96614,322,1486653,3738,4347,38527,737,368,3978,876,41577,3733,22271,1018049,1,58,44602,553871,4140,531706,6748978,3061,294563,27435,172,447,9626,11626,771,200,3932,9157892,966,402,702,3991,8619,5535,725,245420,18150
change,1,93510,1489,7788,137546,6027,1082,10123,2951,1223,37830,379287,2259,314015,10129,108004,65164,2119,712,103089,3672,119255,11151,48531,750472,13,538,630788,2921726,170241,3274758,1191921,6805,284422,131044,1991,441,154878,323305,2642,606,36171,1685222,4894,2487,10633,15454,274807,6513,3276,372517,68260
charge,0,18481,2889,3870,23574,35994,3896,1663,303,91,18548,73945,220,161156,3281,81772,16218,1624,1118,8261,1019,47189,9475,14046,598051,576,9692,65054,201245,53124,279767,1751376,18657,166808,13328,1947,109,20836,24514,2634,399,24549,240477,689,1464,6130,5417,137135,1215,10804,84975,11345
chase,0,1929,141,1710,111282,1493,95,349,60,27,9384,11579,84,9656,14344,2509,3108,782,59,1441,118,6327,100889,2139,43237,1,58,8471,34151,2738,69790,11610,11446,14590,7479,129,95,5720,2247,327,181,8712,32121,188,71,328,516,6629,45,335,30087,2232
chat,0,228986,429,870,19400,473,161,1535,945,157,2767,113499,326,43016,4547,7207,17207,406,360,9545,242,10876,1203,6898,171492,0,15,23824,156201,4301,29342,17383,19379,146552,4035,187,5632,3351,18251,95,34,10544,256636,4857,55,370,1143,42501,340,710,829337,11648
cheat,0,682,65,92,2496,2929,111,178,62,35,1502,13710,58,36068,802,1647,2653,945,14,93,97,21730,487,4112,33577,0,104,4428,98918,2093,19886,3039,7341,572081,2242,172,82,13967,1532,412,14,2746,73553,371,128,469,757,2545,50,1465,56872,5333
check,1,17895,4874,1175,39366,42594,3369,2452,332,82,62431,57966,312,103724,2183,362917,131815,16643,5511,5508,835,72122,32363,8464,1471072,5,174,88628,943610,155937,5134037,70629,77445,1072303,46895,348,1952,16529722,56255,3186,396,52283,1157198,415,207,1143,46913,291122,2369,794,722866,14440
cheer,0,12277,36,68,2261,11351,7,1208,97,4,501,7342,14,11955,163,307,615,108,10,73,9,801,191,923,366860,0,21,5646,7981,387,7292,2864,149,58588,705,17,10,1069,1146,6,7,372,7686,562,13,72,37,180481,105,80,5319,402
chew,0,341,9,16,501,77,1,48,3,355,414,2553,7,4450,1754,201,1493,29,8,98,4,1483,1408,387,5010,0,6,743,6748,2308,47892,870,6401,182395,1748,42,262,8100,2197,44,4,57411,3796,66,5,21,62,36715,199,127,35471,785
chicken,0,2222,393,650,5380,756,237,651,166,490,2837,20652,338,35181,750,4805,13094,501,116,1640,46,7296,2354,1762,75048,0,26,40817,163167,12794,6849,20416,3370,63067,6601,643,158,52684,8755,96,106,1105,83771,886,26,134,1738,4195,82,589,141076,6942
chill,0,78618,108,161,7519,289,15,218,107,73,7693,51022,118,45406,533,3629,6196,1051,246,901,61,7614,21545,2529,65191,0,6,5846,110989,531,31057,13615,3172,76104,3982,26,178,744493,3850,52,169,1915,34805,3604,88,673,1732,5619,88,3592,233994,2851
chime,0,132,28,24,226,21,0,73,2,2,40,992,1,1223,107,1336,201,16,5,21,0,201,53,69,2744,0,0,1071,637680,1901,661,3826,281,2672,63,5,10,510,148,1,1,101,2369,56,1,2,16,783,24,5,2961,77
chip,0,877,329,236,2958,3119,74,469,83,219,1192,18261,109,20299,89643,2853,3646,392,231,768,123,4905,3901,1900,46281,1,135,19332,272105,8366,17860,10559,25366,201786,2334,937,71,11622,4090,181,24,2362,62286,440,40,204,1742,3213,84,303,37012,4000
choke,0,193,45,111,1900,4912,18,84,11,7,296,5413,24,10318,4213,4080,1687,156,18,282,20,4839,18592,1074,8497,2,6,8049,33175,775,18949,3465,6316,191607,1623,64,342,25634,747,58,70,527,31259,108,19,107,2099,24512,903,287,8266,1292
choose,0,2117,466,131,4303,3264,478,332,8987,78,574,39182,94,27008,740,631,5403,129,151,761170,275,9069,433,2366,143017,4,203,940420,38989,663,157891,4991,1228,20426,491174,70,2404,6727,7926,196,140,1448,6601916,870,26,92,998,5722,431,343,15367,6306
chop,0,649,87,207,800,149,45,141,5,177,1228,2141,8,5702,2561,593,804,65,57,289,5,842,36597,238,4734,0,14,2238,7328,3884,78590,6867,79200,7748,4047,74,222,5391,449,26,16,3510,9196,198,16,86,110,68364,12,66,6359,333
chow,0,86,8,9,264,94,3,44,5,2,82,1702,4,1277,78,152,391,14,4,15,1,284,29887,137,4120,0,1,1456,4755,520,558,214,100,3218,208,9,14,328,283,11,1,263,2863,49,1,2,34,161,7,26,2022,197
chuck,0,1084,23,96,804,115,18,96,7,47,1381,6112,89,5372,1809,942,639,75,11,32,35,722,1489,803,5812,2,17,4142,35196,2353,84363,18954,862,11155,3165,204,53,10672,944,9,48,264,8771,344,12,56,195,9409,7,97,3616,335
churn,0,131,14,22,166,33,15,153,82,3,252,1077,3,918,514,85,209,22,12,149,8,251,173,109,2071,7,22,457,3894,291,3597,4134,85,1331,399,3,2,96353,473,19,4,8992,1432,33,6,28,47,2764,6,23,1165,145
clag,0,0,0,0,1,0,0,0,0,0,2,4,0,5,0,0,2,0,0,0,0,2,0,0,12,0,0,13,16,1,10,7,1,17,1,1,0,3,1,0,0,0,13,1,0,0,0,27,1,0,4,1
claim,0,159554,3715,220,11018,59668,124,861,598,259,1563,104933,670,38462,513,13351,14582,487,540,862,1914,45785,1441,8555,137454,18,230,38377,127364,2851,778719,297106,3707,189179,25841,389,842,6552,23514,413,38,11146,2406100,207,233,1246,7757,32386,2107,427,120157,33630
clam,0,295,10,10,244,55,4,11,1,6,88,653,2,975,24,117,590,17,6,67,0,145,7768,71,1405,0,0,668,2780,162,1027,638,82,2776,168,24,63,1538,128,2,5,40,3054,66,2,6,75,23895,45,34,2011,119
clamp,0,68,74,109,209,163,2,76,3,27,1924,1254,8,1460,61,416,318,81,44,198,2,276,53752,112,4478,0,23,1355,3125,451,16567,1079,1478,21955,710,3519,116,305,738,8,25,110,12276,617,7,31,147,2174,8,59,2938,211
clap,0,628,162,24,5270,375,10,6276,14,4,252,3394,3,14735,237,17682,1003,290,7,711,2,909,295,306,40649,0,17,5629,9561,450,2702,14004,2356,10233,735,44,20,1036,1065,5,42,250,8453,842,7,45,44,312,110,129,7872,381
claw,0,159,132,205,737,658,46,145,9,39,580,3921,19,16251,817,24454,840,115,17,123,8,2372,640,353,12139,3,98,4499,10089,2566,7289,16897,1305,12666,898,472,267,5701,1175,66,11,2414,14592,165,44,223,251,2075,56,112,7318,489
clean,0,35160,329,1202,47362,1423,136,638,81,369,9195,192223,537,36525,3959,3157,32829,3362,248,4495,237,27080,7697,7374,177605,1,79,55240,92467,1897,980903,73295,128317,48955,39231,143,1820,256956,6394,1374,675,22322,84950,2248,18,103,13293,1900682,424,17379,105739,17830
clear,0,319710,3055,15612,28540,2306,2298,752,443,218,4073,394461,376,112358,15733,9633,51670,935,467,3628,1506,79108,3429,19890,162957,6,558,301565,437502,3648,509256,450811,24028,460986,41165,249,2182,313016,18245,1513,1405,23034,935012,372,155,959,2981,457800,1274,45415,173191,21613
cleave,0,25,13,26,324,226,2,108,11,162,84,1767,12,1268,283,122,333,31,9,94,8,335,810,253,3084,0,6,1574,3468,694,1732,569,1638,3482,354,307,49,230,248,23,3,4180,8050,180,31,61,66,255,9,32,4240,404
click,0,2542,1665,321,7198,839,661,730,40,62,21361,22076,43,36156,52908,23177,6627,1836,7199,3077,288,5394,9168,2320,419136,8,1359,13209,94418,34816,358500,153215,17927,3560612,34256,4788,9884,13706,10847,3956,65,127499,1068796,7705,113,738,1846,6932,387,1158,177262,4806
climb,0,1866,4875,1562,4262,781,935,952,108,19,9066,24830,33,25656,2110,70496,3685,791,213,1064,597,6934,44467,5396,19930,5,87,26892,90920,56669,50030,6172,5257,115171,4403,19362,105,145664,57503,3778,63,22555,148674,2003,608,2101,4570,239025,739,1332,60614,6795
cling,0,11,6,4,60,48,0,28,2,0,243,508,0,337,47,174,26,20,3,25,1,99,22,606,987,0,3,206,729,431,161,275,60,36341,31,26988,0,93,43,3,2,26,336735,6502,16,69,17,84,26,83,483,41
clock,0,1769,1794,1923,6829,2436,1673,344,55,538,3007,22980,61,44725,1070,22822,7703,1260,277,1117,150,13631,18921,2958,66228,2,3975,14889,175239,3771,21284,26790,6668,103776,2955,472,166,79593,4410,505,135,994,114658,258,102,355,1522,9458,125,612,37653,4659
clog,0,54,19,3,413,14,3,28,0,5,70,824,2,807,54,159,215,19,20,102,17,177,306,170,457,0,2,787,5516,91,8551,891,32,1088,316,7,13,1059,160,25,2,185,700,46,5,24,36,84406,9,115,2167,101
close,0,4048,4106,876,28077,8409,305,872,370,490,13119,582397,378,196268,754,6565,32290,69576,1783,30034,222,416517,140697,13353,214723,30,91,23409,441933,6322,473529,76111,60582,154299,130011,639,2577,224519,10824,802,4261,3275,18099956,279501,453,2384,2730,467636,823,1489,469934,21651
cloud,0,826,2949,318,2869,404,125,372,70,50,4879,17611,70,10219,532,2761,3421,1909,256,473,80,3987,1066,1417,32496,1,37,12878,48157,2638,6389,230197,1040,19327,3558,323,68,37634,19649,47,23,1056,46551,280,93,213,680,5056,575,282,22962,2660
clown,0,713,296,45,1205,124,15,76,92,23,4374,5713,34,6690,217,717,1168,608,101,45,10,2653,936,970,14396,0,3,9496,31914,1126,1388,9198,1046,19705,1513,40,19,4081,1056,16,239,193,14550,33,9,39,463,764,12,202,16105,1127
club,0,8360,1100,2012,22520,2815,411,1490,490,762,8380,66658,354,97979,1378,12176,19530,1811,430,1241,707,27117,7986,7768,200247,0,1696,30726,366272,8990,18393,96690,3326,87251,10892,260,1653,9776,12958,363,244,5867,190601,8501,109,807,3258,9725,176,1227,155712,12700
clump,0,64,19,6,198,73,3,42,2,22,723,732,3,1219,31,225,124,59,10,40,4,159,63,71,591,0,4,297,2909,1093,1196,94119,128,1559,43,79,1,288,126,2,12,21,1005,14157,17,66,78,16840,6,21,930,79
coast,0,2194,273,876,4746,784,235,6728,94,61,3450,23883,103,15397,752,2563,4802,308,210,2515,82,13512,5425,1458,49346,0,199,19024,67488,6045,13316,318494,3634,29499,2924,118,194,2072,3160,741,186,21861,158494,390,295,1177,829,3436,54,582,25482,3076
